Q93009	Q93009	0.000E+00	3177	5.774E-01	0.996	0.991	0.476
Q93009	Q96K76	4.234E-18	307	3.201E-01	0.098	0.975	0.517
Q93009	Q9NVE5	7.940E-18	262	2.443E-01	0.130	0.991	0.436
Q93009	P0CG48	1.308E-16	216	1.978E-01	0.118	0.972	0.545
Q93009	Q70EL4	4.230E-07	194	5.945E-01	0.123	0.388	0.216
Q93009	Q70CQ4	5.234E-06	180	6.284E-01	0.117	0.364	0.181
Q93009	P0CG47	5.901E-10	173	3.008E-01	0.136	0.595	0.974
Q93009	P51784	1.584E-10	160	2.691E-01	0.101	0.905	0.666
Q93009	O75128	6.055E-08	155	3.527E-01	0.142	0.419	0.151
Q93009	Q13107	1.851E-09	153	2.946E-01	0.102	0.902	0.757
Q93009	O15205	7.492E-07	151	4.069E-01	0.120	0.390	0.939
Q93009	Q8NFA0	1.748E-09	146	2.825E-01	0.082	0.858	0.403
Q93009	P05161	1.488E-06	145	4.065E-01	0.121	0.388	0.915
Q93009	O94966	1.551E-05	145	5.324E-01	0.097	0.345	0.154
Q93009	P61956	2.278E-04	144	7.027E-01	0.145	0.222	0.905
Q93009	Q9Y4E8	7.977E-11	143	2.241E-01	0.104	0.981	0.544
Q93009	Q53SF7	5.630E-07	137	3.505E-01	0.080	0.405	0.160
Q93009	Q15646	1.165E-05	134	4.314E-01	0.103	0.383	0.305
Q93009	Q5QJ74	3.032E-04	133	6.831E-01	0.112	0.199	0.229
Q93009	P63165	7.148E-04	131	6.944E-01	0.173	0.229	0.871
Q93009	Q6EEV6	8.014E-04	129	6.980E-01	0.155	0.220	0.895
Q93009	P29074	2.662E-03	126	7.891E-01	0.173	0.195	0.089
Q93009	Q92575	1.420E-03	125	7.138E-01	0.140	0.229	0.181
Q93009	P55854	4.036E-04	124	6.134E-01	0.148	0.227	0.961
Q93009	P61960	3.161E-03	123	7.446E-01	0.113	0.167	0.894
Q93009	P35125	3.453E-05	123	4.793E-01	0.080	0.462	0.222
Q93009	G2XKQ0	1.196E-03	121	6.781E-01	0.173	0.229	0.861
Q93009	Q8NCF5	9.271E-06	121	3.720E-01	0.102	0.402	0.389
Q93009	O14924	2.314E-05	119	3.992E-01	0.123	0.411	0.106
