P00374	sp|P00374|	100.000	100	1.16e-137	381
P00374	sp|Q86XF0|	93.443	99	3.29e-126	352
P00374	sp|Q13573|	36.667	16	5.8	27.3
P00374	sp|P06132|	36.364	30	8.5	26.6
Q9BZX2	sp|Q9BZX2|	96.226	100	1.61e-146	407
Q9BZX2	sp|Q9HA47|	77.725	99	1.02e-120	342
Q9BZX2	sp|Q9NWZ5|	53.431	99	1.30e-76	239
Q9BZX2	sp|Q9NWW6|	23.404	69	0.014	35.0
Q9BZX2	sp|Q9NPI5|	22.517	71	0.021	34.7
Q9BZX2	sp|Q00722|	29.167	35	0.094	33.1
Q9BZX2	sp|Q8WVC6|	47.368	14	0.27	31.2
Q9BZX2	sp|P30085|	29.412	42	1.2	29.3
Q9BZX2	sp|Q9ULJ3|	34.146	20	1.6	29.3
Q9BZX2	sp|Q7Z494|	50.000	14	2.0	28.9
Q9BZX2	sp|Q96EM0|	24.272	47	2.6	28.5
Q9BZX2	sp|Q9GZU7|	33.898	26	3.0	28.1
Q9BZX2	sp|P05112|	32.000	35	3.9	27.3
Q9BZX2	sp|Q92887|	29.508	28	4.7	28.1
Q9BZX2	sp|Q6ZN16|	29.412	38	5.1	27.7
Q9BZX2	sp|P01579|	36.170	21	6.0	26.9
Q9BZX2	sp|P00568|	57.143	10	9.8	26.6
P04150	sp|P04150|	95.951	100	2.55e-171	490
P04150	sp|P08235|	54.435	100	7.03e-93	292
P04150	sp|P06401|	52.419	100	3.99e-90	284
P04150	sp|P10275|	50.633	99	4.64e-79	254
P04150	sp|P62508|	36.364	60	8.05e-22	92.8
P04150	sp|P11474|	36.111	60	3.91e-21	90.9
P04150	sp|P03372|	29.817	86	4.83e-20	88.2
P04150	sp|O95718|	34.266	60	1.71e-19	86.3
P04150	sp|Q92731|	32.639	60	4.72e-17	79.3
P04150	sp|Q9Y466|	21.622	62	5.23e-07	49.3
P04150	sp|P22736|	25.490	64	1.42e-05	45.4
P04150	sp|P48443|	25.000	64	1.59e-05	45.1
P04150	sp|P19793|	25.180	58	2.27e-05	44.7
P04150	sp|P24468|	27.679	46	7.78e-05	42.7
P04150	sp|P10589|	28.099	49	1.38e-04	42.0
P04150	sp|Q9Y5X4|	31.008	52	1.69e-04	42.0
P04150	sp|P28702|	37.736	22	2.01e-04	41.6
P04150	sp|O00482|	24.800	50	2.44e-04	41.6
P04150	sp|P43354|	21.714	73	3.29e-04	41.2
P04150	sp|Q14995|	26.429	58	5.66e-04	40.4
P04150	sp|Q07869|	41.304	19	5.93e-04	40.0
P04150	sp|P37231|	42.857	18	0.004	37.7
P04150	sp|Q14994|	21.951	50	0.006	37.0
P04150	sp|P10276|	27.536	29	0.007	37.0
P04150	sp|Q13285|	27.273	43	0.007	37.0
P04150	sp|P10826|	27.536	29	0.008	37.0
P04150	sp|P10588|	25.225	45	0.008	36.6
P04150	sp|P13631|	27.536	29	0.017	35.8
P04150	sp|Q15406|	24.590	50	0.039	34.7
P04150	sp|P20393|	26.590	69	0.043	34.7
P04150	sp|P41235|	26.852	43	0.057	34.3
P04150	sp|Q14541|	23.585	44	0.058	33.9
P04150	sp|Q92570|	32.609	19	0.071	33.9
P04150	sp|P11473|	43.333	13	0.16	32.7
P04150	sp|Q03181|	52.000	10	0.19	32.3
P04150	sp|Q96RI1|	25.893	46	0.44	31.2
P04150	sp|P55055|	43.333	13	0.62	30.8
P04150	sp|Q13133|	43.333	13	1.2	30.0
P04150	sp|P52735|	34.694	20	1.2	30.0
P04150	sp|P49116|	30.556	15	2.0	29.3
P04150	sp|O75469|	25.333	59	3.4	28.5
P04150	sp|Q8TCW9|	25.352	30	3.8	28.5
P04150	sp|Q8NFJ6|	25.352	30	3.9	28.1
P04150	sp|P15498|	31.250	19	4.4	28.5
P04150	sp|Q9BTY2|	35.135	15	4.4	28.1
P04150	sp|P12259|	39.394	14	6.9	27.7
P04150	sp|Q70JA7|	44.000	10	8.6	27.3
P04150	sp|P51843|	31.579	16	9.0	27.3
O76074	sp|O76074|	100.000	100	0.0	677
O76074	sp|Q9HCR9|	47.516	99	7.10e-105	327
O76074	sp|P51160|	40.719	100	9.88e-90	285
O76074	sp|P35913|	40.964	99	2.80e-88	281
O76074	sp|P16499|	41.975	97	5.87e-88	281
O76074	sp|Q9Y233|	45.833	81	1.13e-74	248
O76074	sp|O00408|	36.156	93	3.18e-56	195
O76074	sp|O76083|	32.234	84	1.50e-36	137
O76074	sp|Q08493|	31.010	86	5.58e-35	134
